Benchmark,Root Struct,Mode,Result,Time Seconds,Message
Flatten2D_test,Flatten2D_0,verify,error,18.518839,"error: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/Flatten2D_test.llzk"":13:19):unsupported expression op
note: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/Flatten2D_test.llzk"":13:19):see current operation: %975 = ""array.new""() <{mapOpGroupSizes = array<i32>, numDimsPerMap = array<i32>, operandSegmentSizes = array<i32: 0, 0>}> : () -> !array.type<75 x !felt.type<""bn128"">>
LLVM ERROR: SMT emission failed
 #0 0x00000001025b6c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int)"
Flatten2D_test,Flatten2D_0,wp,error,0.307469,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x00000001014aec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001014ac744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001014af81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
GlobalAveragePooling2D_test,GlobalAveragePooling2D_2,verify,error,72.405148,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x0000000104a32c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104a30744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000104a3381c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
GlobalAveragePooling2D_test,GlobalAveragePooling2D_2,wp,error,0.265348,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000104e3ec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104e3c744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000104e3f81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
GlobalMaxPooling2D_test,GlobalMaxPooling2D_5,verify,error,14.974897,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x0000000101296c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000101294744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010129781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
GlobalMaxPooling2D_test,GlobalMaxPooling2D_5,wp,error,0.259478,"LLVM ERROR: unknown subcomponent type
 #0 0x000000010548ec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x000000010548c744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010548f81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
IsNegative_test,IsNegative_4,verify,timeout,120.021600,timeout
IsNegative_test,IsNegative_4,wp,error,0.213558,"LLVM ERROR: unknown subcomponent type
 #0 0x00000001052e2c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001052e0744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001052e381c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
IsPositive_test,IsPositive_4,verify,timeout,120.036960,timeout
IsPositive_test,IsPositive_4,wp,error,0.236624,"LLVM ERROR: unknown subcomponent type
 #0 0x00000001010c6c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001010c4744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001010c781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
MaxPooling2D_stride_test,MaxPooling2D_5,verify,timeout,120.152127,timeout
MaxPooling2D_stride_test,MaxPooling2D_5,wp,error,0.256137,"LLVM ERROR: unknown subcomponent type
 #0 0x000000010352ec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x000000010352c744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010352f81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
MaxPooling2D_test,MaxPooling2D_5,verify,error,38.224888,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x00000001033a6c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001033a4744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001033a781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
MaxPooling2D_test,MaxPooling2D_5,wp,error,0.235422,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000104a5ec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104a5c744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000104a5f81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
Max_test,Max_4,verify,error,3.457041,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x0000000102962c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000102960744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010296381c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
Max_test,Max_4,wp,error,0.219498,"LLVM ERROR: unknown subcomponent type
 #0 0x000000010522ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000105228744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010522b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
Num2Bits,Num2Bits_0,verify,error,0.679415,"error: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/Num2Bits.llzk"":16:16):failed to legalize operation 'felt.shr' that was explicitly marked illegal
note: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/Num2Bits.llzk"":16:16):see current operation: %107 = ""felt.shr""(<<UNKNOWN SSA VALUE>>, %97) {product_source = ""compute""} : (!felt.type<""bn128"">, !felt.type<""bn128"">) -> !felt.type<""bn128"">
LLVM ERROR: failed to generate SMT encoding
 #0 0x000000010274ec34 llvm::sys::PrintStackTrace("
Num2Bits,Num2Bits_0,wp,error,0.237824,"(=> true (forall ((x Int)) (=> (and (<= 0 x) (< x (+ var_316 1)) (= (mod (- x 0) 1) 0)) (= (mod (select out_w x) 21888242871839275222246405745257275088548364400416034343698204186575808495617) (mod (select out_c x) 21888242871839275222246405745257275088548364400416034343698204186575808495617)))))
LLVM ERROR: unknown op: felt.bit_and
 #0 0x0000000100e82c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000100e80744 llvm"
ReLU_test,relu_test_6,verify,timeout,120.204464,timeout
ReLU_test,relu_test_6,wp,error,0.224809,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000104986c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104984744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010498781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
SumPooling2D_stride_test,SumPooling2D_1,verify,timeout,120.038060,timeout
SumPooling2D_stride_test,SumPooling2D_1,wp,error,0.214905,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x0000000104f5ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104f58744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000104f5b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
SumPooling2D_test,SumPooling2D_1,verify,error,61.446462,"warning: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/SumPooling2D_test.llzk"":162:15):unhandled operation, analysis may be incomplete
note: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/SumPooling2D_test.llzk"":162:15):see current operation: pod.write %0[@count] = %c4_232 : <[@count: index, @comp: !struct.type<@matElemSum_0::@matElemSum_0>, @params: !pod.type<[]>]>, index {product_source = ""compute""}
warning: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/SumPooling2D_test"
SumPooling2D_test,SumPooling2D_1,wp,error,0.283986,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x0000000100d0ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000100d08744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000100d0b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
aes_256_ctr_test,AES256CTR_8,verify,error,100.795117,"Assertion failed: (indexAsAttr), function rewriteImpl, file /nix/var/nix/builds/nix-66746-3975906522/source/lib/Dialect/Array/Transforms/ArrayToScalarPass.cpp, line 330.
 #0 0x0000000104ea6c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104ea4744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000104ea781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/bu"
aes_256_ctr_test,AES256CTR_8,wp,error,0.397425,"LLVM ERROR: unknown subcomponent type
 #0 0x000000010517ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000105178744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010517b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
aes_256_encrypt_test,AES256Encrypt_6,verify,timeout,120.011347,timeout
aes_256_encrypt_test,AES256Encrypt_6,wp,error,0.406357,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x000000010082ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000100828744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010082b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
aes_256_key_expansion_test,AES256KeyExpansion_3,verify,error,23.877209,"Assertion failed: (indexAsAttr), function rewriteImpl, file /nix/var/nix/builds/nix-66746-3975906522/source/lib/Dialect/Array/Transforms/ArrayToScalarPass.cpp, line 330.
 #0 0x000000010541ac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000105418744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010541b81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/bu"
aes_256_key_expansion_test,AES256KeyExpansion_3,wp,error,0.299865,"LLVM ERROR: multidimensional arrays are not supported
 #0 0x0000000102b1ec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000102b1c744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000102b1f81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0"
aliascheck_test,AliasCheck_2,verify,timeout,120.038402,timeout
aliascheck_test,AliasCheck_2,wp,error,0.258992,"LLVM ERROR: unknown subcomponent type
 #0 0x00000001005eec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001005ec744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001005ef81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
babyadd_tester,BabyAdd_0,verify,verified,6.369227,
babyadd_tester,BabyAdd_0,wp,timeout,120.018509,timeout
babycheck_test,BabyCheck_0,verify,verified,2.384793,
babycheck_test,BabyCheck_0,wp,verified,0.068988,unsat
binsub_test,A_3,verify,error,7.693218,"LLVM ERROR: could not create SourceRef child for member reference
 #0 0x0000000102852c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000102850744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x000000010285381c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804"
binsub_test,A_3,wp,error,0.226538,"LLVM ERROR: arbitrary function calls not supported yet
 #0 0x00000001007aec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x00000001007ac744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x00000001007af81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 "
calculateTotal_test,CalculateTotal_0,verify,error,0.613023,"error: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/calculateTotal_test.llzk"":13:19):unsupported expression op
note: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/calculateTotal_test.llzk"":13:19):see current operation: %85 = ""array.new""() <{mapOpGroupSizes = array<i32>, numDimsPerMap = array<i32>, operandSegmentSizes = array<i32: 0, 0>}> : () -> !array.type<6 x !felt.type<""bn128"">>
LLVM ERROR: SMT emission failed
 #0 0x0000000102cb6c34 llvm::sys::PrintStackTrace(llvm::raw_ostrea"
calculateTotal_test,CalculateTotal_0,wp,verified,0.242061,unsat
calculateTotal_test_fused,CalculateTotal_0,verify,error,0.728444,"error: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/calculateTotal_test_fused.llzk"":13:19):unsupported expression op
note: loc(""/Users/raghav/Veridise/LLEQ/examples/circom-demo/calculateTotal_test_fused.llzk"":13:19):see current operation: %85 = ""array.new""() <{mapOpGroupSizes = array<i32>, numDimsPerMap = array<i32>, operandSegmentSizes = array<i32: 0, 0>}> : () -> !array.type<6 x !felt.type<""bn128"">>
LLVM ERROR: SMT emission failed
 #0 0x0000000105092c34 llvm::sys::PrintStackTrace(llvm"
calculateTotal_test_fused,CalculateTotal_0,wp,verified,0.393297,unsat
chi_test,Chi_6,verify,timeout,120.041127,timeout
chi_test,Chi_6,wp,error,0.371886,"LLVM ERROR: unknown subcomponent type
 #0 0x0000000104ce6c34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000104ce4744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000104ce781c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056f81c)
 #3 0x000000018c56b744 (/usr/lib/system/libsystem_platform.dylib+0x1804fb744)
 #4 0x000000018c5618d"
constants_test,A_1,verify,error,2.907521,"Assertion failed: (!empty()), function front, file /nix/store/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee-llvm-debug-20.1.8-dev/include/llvm/ADT/ArrayRef.h, line 172.
 #0 0x0000000100cdac34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000100cd8744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000100cdb81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq"
constants_test,A_1,wp,error,0.255563,"libc++abi: terminating due to uncaught exception of type cvc5::CVC5ApiException: invalid size of argument 'sorts', expected at least one parameter sort for function sort
 #0 0x0000000102e3ec34 llvm::sys::PrintStackTrace(llvm::raw_ostream&, int) (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056ec34)
 #1 0x0000000102e3c744 llvm::sys::RunSignalHandlers() (/Users/raghav/Veridise/LLEQ/build/tools/lleq/lleq+0x10056c744)
 #2 0x0000000102e3f81c SignalHandler(int) (/Users/raghav/Veridise/LLEQ/bu"
decryptMultiple_test,DecryptBits_1,verify,timeout,120.119136,timeout
